hub,article,status,old_blurb,new_blurb
lawn-basics\index.html,/lawn-basics/what-type-of-grass-do-i-have.html,skipped_unique_blurb,"Learn how to identify common lawn grasses by observing blades, spread patterns, color changes, and seasonal growth instead of relying on labels.",
lawn-basics\index.html,/lawn-basics/warm-season-vs-cool-season-grasses-explained.html,skipped_unique_blurb,"A practical breakdown of warm-season versus cool-season turf, with quick tells, seasonal behavior, and what changes in care across the year.",
lawn-basics\index.html,/lawn-basics/best-grass-types-for-hot-dry-climates.html,skipped_unique_blurb,"A practical shortlist of grasses that hold up in hot, dry climates, plus the tradeoffs that matter: water demand, traffic tolerance, and repair speed.",
lawn-basics\index.html,/lawn-basics/best-grass-types-for-cold-winters.html,skipped_unique_blurb,"A practical breakdown of grass types that survive cold winters, including strengths, weaknesses, and why some lawns rebound while others fail.",
lawn-basics\index.html,/lawn-basics/how-grass-actually-grows.html,skipped_unique_blurb,"A clear explanation of how grass really grows, including crowns, roots, leaf blades, and why mowing does not work the way most people think.",
lawn-basics\index.html,/lawn-basics/how-long-it-takes-grass-to-germinate.html,skipped_unique_blurb,"A practical breakdown of how long grass takes to germinate, what slows it down, and why uneven sprouting is normal early on.",
lawn-basics\index.html,/lawn-basics/why-grass-turns-yellow.html,skipped_unique_blurb,"Yellow grass signals biological stress, not instant failure. This explains the mechanisms behind color loss and how different stresses interfere with normal growth.",
lawn-basics\index.html,/lawn-basics/why-grass-turns-brown.html,skipped_unique_blurb,Brown grass reflects a deeper level of stress than yellowing. This explains when browning is protective dormancy versus irreversible damage.,
lawn-basics\index.html,/lawn-basics/why-grass-grows-unevenly.html,skipped_unique_blurb,"Uneven growth reflects site variability, not random failure. This explains why lawns develop fast and slow zones over time.",
lawn-basics\index.html,/lawn-basics/how-often-grass-should-be-mowed.html,skipped_unique_blurb,"Mowing frequency controls plant energy balance. This explains how growth biology, season, and stress determine when grass should be cut.",
lawn-basics\index.html,/lawn-basics/how-short-is-too-short-to-cut-grass.html,skipped_unique_blurb,"Cutting grass too short creates hidden damage. This explains how low cuts affect crowns, roots, and long-term lawn stability.",
lawn-basics\index.html,/lawn-basics/what-happens-if-you-cut-grass-too-short.html,skipped_unique_blurb,"Excessively short mowing creates an energy deficit that compounds over time, reducing root depth, stress tolerance, and recovery capacity.",
lawn-basics\index.html,/lawn-basics/how-tall-grass-should-be-left-after-mowing.html,skipped_unique_blurb,"Mowing height sets the lawn’s energy budget, shaping recovery speed, root stability, and long-term resistance to environmental stress.",
lawn-basics\index.html,/lawn-basics/how-fast-grass-grows-by-season.html,skipped_unique_blurb,"Seasonal growth patterns reflect plant energy economics, not calendar timing or care intensity.",
lawn-basics\index.html,/lawn-basics/does-grass-grow-at-night.html,skipped_unique_blurb,"Apparent nighttime growth reflects carbohydrate use, respiration rates, and temperature effects rather than energy production.",
